X,Y,Z
594012.5,9715712.5,175.5
594037.5,9715712.5,175.5
594062.5,9715712.5,175.5
594087.5,9715712.5,175.5
594112.5,9715712.5,175.5
594137.5,9715712.5,175.5
594162.5,9715712.5,175.5
594187.5,9715712.5,175.5
594212.5,9715712.5,175.5
594237.5,9715712.5,175.5
594262.5,9715712.5,175.5
594287.5,9715712.5,175.5
594312.5,9715712.5,175.5
594337.5,9715712.5,175.5
594362.5,9715712.5,175.5
594387.5,9715712.5,175.5
594412.5,9715712.5,175.5
594437.5,9715712.5,175.5
594462.5,9715712.5,175.5
594487.5,9715712.5,175.5
594512.5,9715712.5,175.5
594537.5,9715712.5,175.5
594562.5,9715712.5,175.5
594587.5,9715712.5,175.5
594612.5,9715712.5,175.5
594637.5,9715712.5,175.5
594662.5,9715712.5,175.5
594687.5,9715712.5,175.5
594712.5,9715712.5,175.5
594737.5,9715712.5,175.5
594762.5,9715712.5,175.5
594787.5,9715712.5,175.5
594812.5,9715712.5,175.5
594837.5,9715712.5,175.5
594862.5,9715712.5,175.5
594887.5,9715712.5,175.5
594912.5,9715712.5,175.5
594937.5,9715712.5,175.5
594962.5,9715712.5,175.5
594987.5,9715712.5,175.5
595012.5,9715712.5,175.5
595037.5,9715712.5,175.5
595062.5,9715712.5,175.5
595087.5,9715712.5,175.5
595112.5,9715712.5,175.5
595137.5,9715712.5,175.5
595162.5,9715712.5,175.5
595187.5,9715712.5,175.5
595212.5,9715712.5,175.5
595237.5,9715712.5,175.5
595262.5,9715712.5,175.5
595287.5,9715712.5,175.5
595312.5,9715712.5,175.5
595337.5,9715712.5,175.5
595362.5,9715712.5,175.5
595387.5,9715712.5,175.5
595412.5,9715712.5,175.5
595437.5,9715712.5,175.5
595462.5,9715712.5,175.5
595487.5,9715712.5,175.5
595512.5,9715712.5,175.5
595537.5,9715712.5,175.5
595562.5,9715712.5,175.5
595587.5,9715712.5,175.5
595612.5,9715712.5,175.5
595637.5,9715712.5,175.5
590362.5,9715737.5,175.5
590387.5,9715737.5,175.5
590412.5,9715737.5,175.5
590437.5,9715737.5,175.5
590462.5,9715737.5,175.5
590487.5,9715737.5,175.5
590512.5,9715737.5,175.5
590537.5,9715737.5,175.5
590562.5,9715737.5,175.5
590587.5,9715737.5,175.5
590612.5,9715737.5,175.5
590637.5,9715737.5,175.5
590662.5,9715737.5,175.5
590687.5,9715737.5,175.5
590712.5,9715737.5,175.5
590737.5,9715737.5,175.5
590762.5,9715737.5,175.5
590787.5,9715737.5,175.5
590812.5,9715737.5,175.5
590837.5,9715737.5,175.5
590862.5,9715737.5,175.5
590887.5,9715737.5,175.5
590912.5,9715737.5,175.5
590937.5,9715737.5,175.5
590962.5,9715737.5,175.5
590987.5,9715737.5,175.5
591012.5,9715737.5,175.5
591037.5,9715737.5,175.5
591062.5,9715737.5,175.5
591087.5,9715737.5,175.5
591112.5,9715737.5,175.5
591137.5,9715737.5,175.5
591162.5,9715737.5,175.5
591187.5,9715737.5,175.5
591212.5,9715737.5,175.5
591237.5,9715737.5,175.5
591262.5,9715737.5,175.5
591287.5,9715737.5,175.5
591312.5,9715737.5,175.5
591337.5,9715737.5,175.5
591362.5,9715737.5,175.5
591387.5,9715737.5,175.5
591412.5,9715737.5,175.5
591437.5,9715737.5,175.5
591462.5,9715737.5,175.5
591487.5,9715737.5,175.5
591512.5,9715737.5,175.5
591537.5,9715737.5,175.5
591562.5,9715737.5,175.5
591587.5,9715737.5,175.5
591612.5,9715737.5,175.5
591637.5,9715737.5,175.5
591662.5,9715737.5,175.5
591687.5,9715737.5,175.5
591712.5,9715737.5,175.5
591737.5,9715737.5,175.5
591762.5,9715737.5,175.5
591787.5,9715737.5,175.5
591812.5,9715737.5,175.5
591837.5,9715737.5,175.5
591862.5,9715737.5,175.5
591887.5,9715737.5,175.5
591912.5,9715737.5,175.5
591937.5,9715737.5,175.5
591962.5,9715737.5,175.5
591987.5,9715737.5,175.5
592012.5,9715737.5,175.5
592037.5,9715737.5,175.5
592062.5,9715737.5,175.5
592087.5,9715737.5,175.5
592112.5,9715737.5,175.5
592137.5,9715737.5,175.5
592162.5,9715737.5,175.5
592187.5,9715737.5,175.5
592212.5,9715737.5,175.5
592237.5,9715737.5,175.5
592262.5,9715737.5,175.5
592287.5,9715737.5,175.5
592312.5,9715737.5,175.5
592337.5,9715737.5,175.5
592362.5,9715737.5,175.5
592387.5,9715737.5,175.5
592412.5,9715737.5,175.5
592437.5,9715737.5,175.5
592462.5,9715737.5,175.5
592487.5,9715737.5,175.5
592512.5,9715737.5,175.5
592537.5,9715737.5,175.5
592562.5,9715737.5,175.5
592587.5,9715737.5,175.5
592612.5,9715737.5,175.5
592637.5,9715737.5,175.5
592662.5,9715737.5,175.5
592687.5,9715737.5,175.5
592712.5,9715737.5,175.5
592737.5,9715737.5,175.5
592762.5,9715737.5,175.5
592787.5,9715737.5,175.5
592812.5,9715737.5,175.5
592837.5,9715737.5,175.5
592862.5,9715737.5,175.5
592887.5,9715737.5,175.5
592912.5,9715737.5,175.5
592937.5,9715737.5,175.5
592962.5,9715737.5,175.5
592987.5,9715737.5,175.5
593012.5,9715737.5,175.5
593037.5,9715737.5,175.5
593062.5,9715737.5,175.5
593087.5,9715737.5,175.5
593112.5,9715737.5,175.5
593137.5,9715737.5,175.5
593162.5,9715737.5,175.5
593187.5,9715737.5,175.5
593212.5,9715737.5,175.5
593237.5,9715737.5,175.5
593262.5,9715737.5,175.5
593287.5,9715737.5,175.5
593312.5,9715737.5,175.5
593337.5,9715737.5,175.5
593362.5,9715737.5,175.5
593387.5,9715737.5,175.5
593412.5,9715737.5,175.5
593437.5,9715737.5,175.5
593462.5,9715737.5,175.5
593487.5,9715737.5,175.5
593512.5,9715737.5,175.5
593537.5,9715737.5,175.5
593562.5,9715737.5,175.5
593587.5,9715737.5,175.5
593612.5,9715737.5,175.5
593637.5,9715737.5,175.5
593662.5,9715737.5,175.5
593687.5,9715737.5,175.5
593712.5,9715737.5,175.5
593737.5,9715737.5,175.5
593762.5,9715737.5,175.5
593787.5,9715737.5,175.5
593812.5,9715737.5,175.5
593837.5,9715737.5,175.5
593862.5,9715737.5,175.5
593887.5,9715737.5,175.5
593912.5,9715737.5,175.5
593937.5,9715737.5,175.5
593962.5,9715737.5,175.5
593987.5,9715737.5,175.5
594012.5,9715737.5,175.5
594037.5,9715737.5,175.5
594062.5,9715737.5,175.5
594087.5,9715737.5,175.5
594112.5,9715737.5,175.5
594137.5,9715737.5,175.5
594162.5,9715737.5,175.5
594187.5,9715737.5,175.5
594212.5,9715737.5,175.5
594237.5,9715737.5,175.5
594262.5,9715737.5,175.5
594287.5,9715737.5,175.5
594312.5,9715737.5,175.5
594337.5,9715737.5,175.5
594362.5,9715737.5,175.5
594387.5,9715737.5,175.5
594412.5,9715737.5,175.5
594437.5,9715737.5,175.5
594462.5,9715737.5,175.5
594487.5,9715737.5,175.5
594512.5,9715737.5,175.5
594537.5,9715737.5,175.5
594562.5,9715737.5,175.5
594587.5,9715737.5,175.5
594612.5,9715737.5,175.5
594637.5,9715737.5,175.5
594662.5,9715737.5,175.5
594687.5,9715737.5,175.5
594712.5,9715737.5,175.5
594737.5,9715737.5,175.5
594762.5,9715737.5,175.5
594787.5,9715737.5,175.5
594812.5,9715737.5,175.5
594837.5,9715737.5,175.5
594862.5,9715737.5,175.5
594887.5,9715737.5,175.5
594912.5,9715737.5,175.5
594937.5,9715737.5,175.5
594962.5,9715737.5,175.5
594987.5,9715737.5,175.5
595012.5,9715737.5,175.5
595037.5,9715737.5,175.5
595062.5,9715737.5,175.5
595087.5,9715737.5,175.5
595112.5,9715737.5,175.5
595137.5,9715737.5,175.5
595162.5,9715737.5,175.5
595187.5,9715737.5,175.5
595212.5,9715737.5,175.5
595237.5,9715737.5,175.5
595262.5,9715737.5,175.5
595287.5,9715737.5,175.5
595312.5,9715737.5,175.5
595337.5,9715737.5,175.5
595362.5,9715737.5,175.5
595387.5,9715737.5,175.5
595412.5,9715737.5,175.5
595437.5,9715737.5,175.5
595462.5,9715737.5,175.5
595487.5,9715737.5,175.5
595512.5,9715737.5,175.5
595537.5,9715737.5,175.5
595562.5,9715737.5,175.5
595587.5,9715737.5,175.5
595612.5,9715737.5,175.5
595637.5,9715737.5,175.5
590362.5,9715762.5,175.5
590387.5,9715762.5,175.5
590412.5,9715762.5,175.5
590437.5,9715762.5,175.5
590462.5,9715762.5,175.5
590487.5,9715762.5,175.5
590512.5,9715762.5,175.5
590537.5,9715762.5,175.5
590562.5,9715762.5,175.5
590587.5,9715762.5,175.5
590612.5,9715762.5,175.5
590637.5,9715762.5,175.5
590662.5,9715762.5,175.5
590687.5,9715762.5,175.5
590712.5,9715762.5,175.5
590737.5,9715762.5,175.5
590762.5,9715762.5,175.5
590787.5,9715762.5,175.5
590812.5,9715762.5,175.5
590837.5,9715762.5,175.5
590862.5,9715762.5,175.5
590887.5,9715762.5,175.5
590912.5,9715762.5,175.5
590937.5,9715762.5,175.5
590962.5,9715762.5,175.5
590987.5,9715762.5,175.5
591012.5,9715762.5,175.5
591037.5,9715762.5,175.5
591062.5,9715762.5,175.5
591087.5,9715762.5,175.5
591112.5,9715762.5,175.5
591137.5,9715762.5,175.5
591162.5,9715762.5,175.5
591187.5,9715762.5,175.5
591212.5,9715762.5,175.5
591237.5,9715762.5,175.5
591262.5,9715762.5,175.5
591287.5,9715762.5,175.5
591312.5,9715762.5,175.5
591337.5,9715762.5,175.5
591362.5,9715762.5,175.5
591387.5,9715762.5,175.5
591412.5,9715762.5,175.5
591437.5,9715762.5,175.5
591462.5,9715762.5,175.5
591487.5,9715762.5,175.5
591512.5,9715762.5,175.5
591537.5,9715762.5,175.5
591562.5,9715762.5,175.5
591587.5,9715762.5,175.5
591612.5,9715762.5,175.5
591637.5,9715762.5,175.5
591662.5,9715762.5,175.5
591687.5,9715762.5,175.5
591712.5,9715762.5,175.5
591737.5,9715762.5,175.5
591762.5,9715762.5,175.5
591787.5,9715762.5,175.5
591812.5,9715762.5,175.5
591837.5,9715762.5,175.5
591862.5,9715762.5,175.5
591887.5,9715762.5,175.5
591912.5,9715762.5,175.5
591937.5,9715762.5,175.5
591962.5,9715762.5,175.5
591987.5,9715762.5,175.5
592012.5,9715762.5,175.5
592037.5,9715762.5,175.5
592062.5,9715762.5,175.5
592087.5,9715762.5,175.5
592112.5,9715762.5,175.5
592137.5,9715762.5,175.5
592162.5,9715762.5,175.5
592187.5,9715762.5,175.5
592212.5,9715762.5,175.5
592237.5,9715762.5,175.5
592262.5,9715762.5,175.5
592287.5,9715762.5,175.5
592312.5,9715762.5,175.5
592337.5,9715762.5,175.5
592362.5,9715762.5,175.5
592387.5,9715762.5,175.5
592412.5,9715762.5,175.5
592437.5,9715762.5,175.5
592462.5,9715762.5,175.5
592487.5,9715762.5,175.5
592512.5,9715762.5,175.5
592537.5,9715762.5,175.5
592562.5,9715762.5,175.5
592587.5,9715762.5,175.5
592612.5,9715762.5,175.5
592637.5,9715762.5,175.5
592662.5,9715762.5,175.5
592687.5,9715762.5,175.5
592712.5,9715762.5,175.5
592737.5,9715762.5,175.5
592762.5,9715762.5,175.5
592787.5,9715762.5,175.5
592812.5,9715762.5,175.5
592837.5,9715762.5,175.5
592862.5,9715762.5,175.5
592887.5,9715762.5,175.5
592912.5,9715762.5,175.5
592937.5,9715762.5,175.5
592962.5,9715762.5,175.5
592987.5,9715762.5,175.5
593012.5,9715762.5,175.5
593037.5,9715762.5,175.5
593062.5,9715762.5,175.5
593087.5,9715762.5,175.5
593112.5,9715762.5,175.5
593137.5,9715762.5,175.5
593162.5,9715762.5,175.5
593187.5,9715762.5,175.5
593212.5,9715762.5,175.5
593237.5,9715762.5,175.5
593262.5,9715762.5,175.5
593287.5,9715762.5,175.5
593312.5,9715762.5,175.5
593337.5,9715762.5,175.5
593362.5,9715762.5,175.5
593387.5,9715762.5,175.5
593412.5,9715762.5,175.5
593437.5,9715762.5,175.5
593462.5,9715762.5,175.5
593487.5,9715762.5,175.5
593512.5,9715762.5,175.5
593537.5,9715762.5,175.5
593562.5,9715762.5,175.5
593587.5,9715762.5,175.5
593612.5,9715762.5,175.5
593637.5,9715762.5,175.5
593662.5,9715762.5,175.5
593687.5,9715762.5,175.5
593712.5,9715762.5,175.5
593737.5,9715762.5,175.5
593762.5,9715762.5,175.5
593787.5,9715762.5,175.5
593812.5,9715762.5,175.5
593837.5,9715762.5,175.5
593862.5,9715762.5,175.5
593887.5,9715762.5,175.5
593912.5,9715762.5,175.5
593937.5,9715762.5,175.5
593962.5,9715762.5,175.5
593987.5,9715762.5,175.5
594012.5,9715762.5,175.5
594037.5,9715762.5,175.5
594062.5,9715762.5,175.5
594087.5,9715762.5,175.5
594112.5,9715762.5,175.5
594137.5,9715762.5,175.5
594162.5,9715762.5,175.5
594187.5,9715762.5,175.5
594212.5,9715762.5,175.5
594237.5,9715762.5,175.5
594262.5,9715762.5,175.5
594287.5,9715762.5,175.5
594312.5,9715762.5,175.5
594337.5,9715762.5,175.5
594362.5,9715762.5,175.5
594387.5,9715762.5,175.5
594412.5,9715762.5,175.5
594437.5,9715762.5,175.5
594462.5,9715762.5,175.5
594487.5,9715762.5,175.5
594512.5,9715762.5,175.5
594537.5,9715762.5,175.5
594562.5,9715762.5,175.5
594587.5,9715762.5,175.5
594612.5,9715762.5,175.5
594637.5,9715762.5,175.5
594662.5,9715762.5,175.5
594687.5,9715762.5,175.5
594712.5,9715762.5,175.5
594737.5,9715762.5,175.5
594762.5,9715762.5,175.5
594787.5,9715762.5,175.5
594812.5,9715762.5,175.5
594837.5,9715762.5,175.5
594862.5,9715762.5,175.5
594887.5,9715762.5,175.5
594912.5,9715762.5,175.5
594937.5,9715762.5,175.5
594962.5,9715762.5,175.5
594987.5,9715762.5,175.5
595012.5,9715762.5,175.5
595037.5,9715762.5,175.5
595062.5,9715762.5,175.5
595087.5,9715762.5,175.5
595112.5,9715762.5,175.5
595137.5,9715762.5,175.5
595162.5,9715762.5,175.5
595187.5,9715762.5,175.5
595212.5,9715762.5,175.5
595237.5,9715762.5,175.5
595262.5,9715762.5,175.5
595287.5,9715762.5,175.5
595312.5,9715762.5,175.5
595337.5,9715762.5,175.5
595362.5,9715762.5,175.5
595387.5,9715762.5,175.5
595412.5,9715762.5,175.5
595437.5,9715762.5,175.5
595462.5,9715762.5,175.5
595487.5,9715762.5,175.5
595512.5,9715762.5,175.5
595537.5,9715762.5,175.5
595562.5,9715762.5,175.5
595587.5,9715762.5,175.5
595612.5,9715762.5,175.5
595637.5,9715762.5,175.5
590362.5,9715787.5,175.5
590387.5,9715787.5,175.5
590412.5,9715787.5,175.5
590437.5,9715787.5,175.5
590462.5,9715787.5,175.5
590487.5,9715787.5,175.5
590512.5,9715787.5,175.5
590537.5,9715787.5,175.5
590562.5,9715787.5,175.5
590587.5,9715787.5,175.5
590612.5,9715787.5,175.5
590637.5,9715787.5,175.5
590662.5,9715787.5,175.5
590687.5,9715787.5,175.5
590712.5,9715787.5,175.5
590737.5,9715787.5,175.5
590762.5,9715787.5,175.5
590787.5,9715787.5,175.5
590812.5,9715787.5,175.5
590837.5,9715787.5,175.5
590862.5,9715787.5,175.5
590887.5,9715787.5,175.5
590912.5,9715787.5,175.5
590937.5,9715787.5,175.5
590962.5,9715787.5,175.5
590987.5,9715787.5,175.5
591012.5,9715787.5,175.5
591037.5,9715787.5,175.5
591062.5,9715787.5,175.5
591087.5,9715787.5,175.5
591112.5,9715787.5,175.5
591137.5,9715787.5,175.5
591162.5,9715787.5,175.5
591187.5,9715787.5,175.5
591212.5,9715787.5,175.5
591237.5,9715787.5,175.5
591262.5,9715787.5,175.5
591287.5,9715787.5,175.5
591312.5,9715787.5,175.5
591337.5,9715787.5,175.5
591362.5,9715787.5,175.5
591387.5,9715787.5,175.5
591412.5,9715787.5,175.5
591437.5,9715787.5,175.5
591462.5,9715787.5,175.5
591487.5,9715787.5,175.5
591512.5,9715787.5,175.5
591537.5,9715787.5,175.5
591562.5,9715787.5,175.5
591587.5,9715787.5,175.5
591612.5,9715787.5,175.5
591637.5,9715787.5,175.5
591662.5,9715787.5,175.5
591687.5,9715787.5,175.5
591712.5,9715787.5,175.5
591737.5,9715787.5,175.5
591762.5,9715787.5,175.5
591787.5,9715787.5,175.5
591812.5,9715787.5,175.5
591837.5,9715787.5,175.5
591862.5,9715787.5,175.5
591887.5,9715787.5,175.5
591912.5,9715787.5,175.5
591937.5,9715787.5,175.5
591962.5,9715787.5,175.5
591987.5,9715787.5,175.5
592012.5,9715787.5,175.5
592037.5,9715787.5,175.5
592062.5,9715787.5,175.5
592087.5,9715787.5,175.5
592112.5,9715787.5,175.5
592137.5,9715787.5,175.5
592162.5,9715787.5,175.5
592187.5,9715787.5,175.5
592212.5,9715787.5,175.5
592237.5,9715787.5,175.5
592262.5,9715787.5,175.5
592287.5,9715787.5,175.5
592312.5,9715787.5,175.5
592337.5,9715787.5,175.5
592362.5,9715787.5,175.5
592387.5,9715787.5,175.5
592412.5,9715787.5,175.5
592437.5,9715787.5,175.5
